,行政区,街区,小区,经度,纬度,,,
586,宝山,杨行,天馨花园(公寓),121.4449502,31.37102671,,,
2816,宝山,顾村,馨佳园(韶山路419弄),121.3690354,31.37035303,,,
3077,嘉定,嘉定老城,新城香溢都荟,121.2669669,31.37007646,,,
2483,宝山,顾村,馨佳园(菊泉街1969弄),121.3781,31.369325,,,
156,宝山,顾村,馨佳园(菊泉街1346弄),121.375453,31.36894,,,
1980,宝山,顾村,金地天地云墅,121.3979848,31.36889443,,,
158,宝山,顾村,龙湖北城天街,121.3661567,31.36767037,,,
730,宝山,顾村,中铁青秀城西区,121.399952,31.367363,,,
3030,宝山,顾村,新顾村大家园C区,121.418377,31.36693,,,
621,嘉定,嘉定老城,红土天阶,121.244343,31.366575,,,
1231,宝山,顾村,馨佳园(菊泉街1280弄),121.3803053,31.36652962,,,
962,宝山,顾村,中铁青秀城东区,121.4032858,31.36649963,,,
210,宝山,顾村,大华锦绣四季,121.4073188,31.36565433,,,
2738,宝山,顾村,馨佳园(菊盛路851弄),121.3741832,31.36528857,,,
615,宝山,顾村,宝顾佳苑,121.3985423,31.36525935,,,
997,宝山,顾村,馨佳园(韶山路245弄),121.371453,31.364789,,,
2570,宝山,顾村,新顾村大家园D区,121.420487,31.36463666,,,
3104,宝山,顾村,新顾村大家园A区,121.4138204,31.36456019,,,
1307,宝山,顾村,新顾城广福苑,121.3557384,31.36440294,,,
1998,宝山,顾村,绿地北郊广场(商铺),121.3852216,31.36324034,,,
286,宝山,顾村,丰水宝邸(东苑),121.4019792,31.36287541,,,
2903,宝山,顾村,新顾城宝义苑,121.3564247,31.36229495,,,
199,宝山,顾村,丰水宝邸(西苑),121.399081,31.36214887,,,
1485,宝山,顾村,新顾村大家园B区,121.414386,31.36213792,,,
589,宝山,顾村,中怡家园,121.3827321,31.36195299,,,
2061,宝山,顾村,成亿宝盛家苑,121.4206152,31.36155399,,,
1386,宝山,顾村,世纪非凡锦城,121.3973993,31.3611085,,,
1144,青浦,赵巷,上实虹桥湖畔艺墅,121.1825337,31.36088934,,,
1915,宝山,顾村,自然居家园,121.4171901,31.36078658,,,
1522,宝山,顾村,菊泉新城(陆翔路698弄),121.3722825,31.36071743,,,
10,宝山,顾村,新天地荻泾花园,121.3921299,31.36012562,,,
1423,嘉定,嘉定新城,新城香溢璟庭(二期),121.255768,31.36004491,,,
1377,宝山,顾村,世纪非凡怡园,121.3982819,31.35891339,,,
137,宝山,顾村,好日子大家园B区,121.366733,31.358854,,,
1717,宝山,顾村,天极盛宅花园,121.4221164,31.35878704,,,
338,宝山,顾村,盛宅新村,121.4169197,31.3586917,,,
1152,宝山,共富,共富一村,121.4364786,31.35861521,,,
2335,宝山,顾村,菊泉新城(陆翔路678弄),121.3754553,31.35815861,,,
1346,浦东,外高桥,和祥佳园,121.576728,31.35791292,,,
2713,宝山,顾村,馨清佳苑,121.383126,31.35771487,,,
1711,宝山,顾村,东方帕堤欧,121.3929549,31.35765998,,,
3117,宝山,顾村,井晓公馆,121.394379,31.35714386,,,
2056,嘉定,嘉定新城,阳光城新界,121.2627967,31.35709599,,,
1770,宝山,顾村,菊泉新城(菊盛路50弄),121.3838272,31.35673389,,,
687,嘉定,嘉定新城,保利天鹅语,121.245987,31.3565979,,,
2455,宝山,顾村,旭辉依云湾,121.395857,31.35637,,,
1268,嘉定,嘉定新城,新城香溢澜庭,121.250562,31.35569585,,,
3121,宝山,顾村,采菊苑,121.3732015,31.35561775,,,
2023,宝山,淞南,华浜新村,121.5007339,31.3555994,,,
1426,宝山,顾村,泰和新城(泰和西路3463弄),121.4124374,31.35555523,,,
2486,宝山,顾村,馨祥佳苑,121.4135342,31.35553796,,,
1060,浦东,外高桥,学前公寓,121.5923904,31.35540405,,,
983,宝山,顾村,好日子大家园C区,121.361371,31.355114,,,
976,宝山,共富,共富二村,121.438083,31.35455387,,,
1533,宝山,顾村,菊泉新城(陆翔路358弄),121.377046,31.354104,,,
2825,宝山,顾村,好日子大家园D区,121.359127,31.353621,,,
1975,宝山,淞南,长江路440弄,121.4975339,31.35341766,,,
628,宝山,共富,富弘苑,121.4308079,31.35323156,,,
1056,宝山,顾村,文宝苑,121.3746224,31.35309125,,,
471,嘉定,嘉定新城,光明D9空间,121.269962,31.352533,,,
1678,浦东,外高桥,高桥二村,121.5833732,31.35184701,,,
2651,宝山,共富,鑫鑫花园,121.4339587,31.35141697,,,
2216,浦东,外高桥,花山名苑,121.5748396,31.35139685,,,
92,宝山,顾村,保利叶上海(二期),121.3610629,31.35114089,,,
2070,宝山,淞南,湘源大厦,121.4857474,31.35100597,,,
1848,宝山,顾村,绿地公园广场,121.377834,31.35090891,,,
2482,宝山,淞南,淞南三村,121.4960859,31.35017556,,,
1558,嘉定,嘉定新城,上实海上公元,121.2752802,31.35005283,,,
2395,嘉定,嘉定新城,合景峰汇(嘉定),121.2649875,31.35003694,,,
186,宝山,顾村,保利叶语(一期)(公寓),121.3753166,31.34989223,,,
731,嘉定,嘉定新城,新城金郡（商住）,121.247576,31.349739,,,
1448,浦东,外高桥,石家街144弄,121.586296,31.349713,,,
1509,宝山,顾村,保利叶上海(一期),121.3666536,31.3494911,,,
2898,宝山,共富,大唐花园,121.4074534,31.3494325,,,
2308,宝山,共富,融创玉兰公馆,121.424779,31.3492679,,,
462,杨浦,新江湾城,世纪江湾,121.5162919,31.34892913,,,
1648,浦东,外高桥,潼港一村,121.5829539,31.34888441,,,
521,宝山,淞南,新城尚景,121.488883,31.34877139,,,
816,嘉定,嘉定新城,新城金郡,121.24632,31.348747,,,
1944,浦东,外高桥,华景苑,121.594635,31.341564,,,
2995,浦东,外高桥,高盛家园,121.5396,31.368232,,,
2880,宝山,淞南,三湘海尚城(公寓),121.4843924,31.34832113,,,
1602,宝山,张庙,呼玛一村,121.4583018,31.34814388,,,
2392,宝山,淞南,淞南一村,121.4912748,31.34804574,,,
32,嘉定,嘉定新城,阳光里(嘉定),121.266089,31.34804,,,
2148,宝山,顾村,保利叶语(二期)(公寓),121.369905,31.34789185,,,
1660,宝山,张庙,呼玛二村,121.4533097,31.34725655,,,
2501,宝山,张庙,呼玛五村,121.4455052,31.34705926,,,
939,宝山,张庙,呼玛三村,121.448102,31.34571239,,,
1959,嘉定,嘉定新城,盘古天地,121.2528887,31.34510376,,,
2300,宝山,淞南,淞南老五村,121.4916374,31.34488479,,,
698,宝山,淞南,淞南五村,121.4916374,31.34488479,,,
1306,宝山,淞南,淞南新新五村,121.4933395,31.34477585,,,
1743,宝山,张庙,泗塘一村,121.4603998,31.34472743,,,
2,宝山,共康,卓越时代广场,121.4420764,31.34459497,,,
2472,宝山,张庙,长江西路1321号,121.4617469,31.34377846,,,
1295,杨浦,新江湾城,合生江湾国际公寓,121.5216047,31.34377622,,,
2662,宝山,张庙,龙缘花园,121.450006,31.3437369,,,
2014,浦东,外高桥,上炼三村,121.580209,31.34371686,,,
1310,浦东,御桥,仁和都市花园,121.4839973,31.34334376,,,
2037,宝山,淞南,都市花苑,121.4839973,31.34334376,,,
1098,嘉定,嘉定新城,嘉宝梦之缘景庭,121.254078,31.34308485,,,
1866,宝山,淞南,鹏程花苑,121.4950854,31.34305069,,,
1480,宝山,张庙,冶金小区(宝山),121.4482511,31.34298631,,,
2860,宝山,淞南,淞南六村东区,121.4925025,31.34284282,,,
1476,浦东,外高桥,富特五村,121.5920121,31.34277682,,,
1976,杨浦,新江湾城,华润置地橡树湾,121.5271893,31.34277597,,,
1698,宝山,张庙,泗塘四村,121.4669586,31.34244034,,,
1272,宝山,张庙,通河一村,121.4550589,31.34182506,,,
410,宝山,共康,和欣国际花园,121.4419835,31.34179799,,,
323,嘉定,嘉定新城,合景理想家,121.2631609,31.34163577,,,
2996,浦东,外高桥,上炼一村,121.5776127,31.3414457,,,
1618,宝山,共康,新梅绿岛苑,121.4364409,31.34080389,,,
1165,宝山,张庙,通河三村,121.450739,31.34073287,,,
1739,宝山,杨行,润杨名邸,121.4930887,31.34072478,,,
104,宝山,张庙,泗塘三村,121.4620067,31.34064135,,,
719,杨浦,中原,兴浦新村,121.5367731,31.34052068,,,
2776,宝山,共康,共康雅苑三期,121.426047,31.34048745,,,
1735,宝山,淞南,盛世宝邸(一期),121.4963457,31.34032507,,,
1517,宝山,共康,中环国际公寓(一期),121.4336795,31.34014248,,,
2511,嘉定,嘉定新城,马陆清水湾,121.293424,31.3398959,,,
1700,宝山,通河,通河二村,121.4568973,31.33973845,,,
1157,宝山,淞南,淞南七村,121.486715,31.33889291,,,
1765,宝山,大场镇,和泰苑,121.4127615,31.33883708,,,
1981,宝山,共康,宝宸共和家园,121.4444568,31.33881048,,,
48,宝山,淞南,淞南十村,121.479456,31.338427,,,
528,宝山,张庙,泗塘五村,121.4665769,31.33817412,,,
187,宝山,共康,宝宸怡景园,121.4416386,31.33768017,,,
1962,杨浦,新江湾城,祥生御江湾(公寓),121.5040295,31.3376036,,,
1488,宝山,通河,通河四村,121.451562,31.33738585,,,
3095,宝山,共康,恒泰家园,121.4343526,31.33723811,,,
3062,宝山,通河,通河六村,121.4582924,31.33723588,,,
1458,嘉定,嘉定新城,阳光葡提公馆,121.2954904,31.33706771,,,
2694,杨浦,中原,城市名园,121.5455674,31.33704881,,,
2753,宝山,上大,经纬学府涵青花园(二期),121.4041047,31.33689444,,,
1773,宝山,上大,经纬城市绿洲,121.410077,31.336853,,,
585,宝山,共康,九英里,121.4373575,31.33679351,,,
2343,嘉定,嘉定新城,常发豪庭国际,121.2548486,31.3367464,,,
167,宝山,共康,恒达家园,121.4313648,31.33662495,,,
1659,杨浦,新江湾城,中建大公馆,121.5214392,31.33643689,,,
2619,杨浦,新江湾城,泰宝华庭(公寓),121.502901,31.33639286,,,
620,杨浦,新江湾城,新江湾时代花园,121.5316774,31.3363533,,,
273,宝山,张庙,泗塘八村,121.463302,31.33619484,,,
2600,嘉定,嘉定新城,中信泰富又一城（二三期）,121.259656,31.33604186,,,
2149,嘉定,嘉定新城,中信泰富又一城（一期）,121.2596697,31.33603924,,,
2521,宝山,通河,通河八村,121.4540906,31.3358376,,,
1270,杨浦,中原,闸殷路195弄,121.5347223,31.33572109,,,
2204,杨浦,中原,殷行路310弄,121.5450069,31.33570898,,,
2376,杨浦,中原,闸二小区,121.537166,31.33562686,,,
2059,宝山,高境,嘉骏花苑,121.4805218,31.33546763,,,
575,杨浦,中原,殷行路430弄,121.542787,31.33545691,,,
1709,宝山,通河,通河七村,121.4583458,31.33545398,,,
279,宝山,通河,银和家园,121.45108,31.33533886,,,
2021,宝山,高境,象屿郦庭,121.4841788,31.33518047,,,
2380,宝山,共康,共康雅苑二期,121.4316299,31.33483942,,,
1510,宝山,共康,共和新苑,121.4475265,31.33481875,,,
2616,杨浦,中原,潘阳小区,121.5407576,31.33464287,,,
2379,浦东,外高桥,南新东园,121.5946933,31.33434646,,,
2046,杨浦,中原,殷行路571弄,121.540101,31.3342429,,,
185,杨浦,新江湾城,新江湾城雍景苑,121.5137219,31.33422462,,,
813,宝山,共康,共康六村,121.4454699,31.33422077,,,
2572,浦东,高行,高行绿洲(三期),121.597606,31.334019,,,
915,宝山,共康,共康七村,121.4426836,31.33386683,,,
1141,宝山,高境,美岸栖庭(公寓),121.4988809,31.33362856,,,
1882,嘉定,嘉定新城,绿地卡米公社,121.2634565,31.33357905,,,
1702,宝山,上大,经纬阳光水岸家园(一期),121.410991,31.33303149,,,
2330,杨浦,新江湾城,保辉香景园,121.5115626,31.3326016,,,
738,嘉定,嘉定新城,龙湖郦城,121.2615202,31.33222082,,,
1216,杨浦,中原,开鲁四村,121.536915,31.33200197,,,
2399,宝山,共康,共康公寓,121.4441582,31.33194807,,,
1204,浦东,高行,高行绿洲(五期),121.601798,31.33191492,,,
201,浦东,高行,高行绿洲(四期),121.597597,31.33182,,,
981,杨浦,中原,开鲁路382弄,121.5394175,31.33159652,,,
3119,宝山,上大,滨江公园壹号,121.3875006,31.33157153,,,
2833,宝山,上大,保利叶之林(一期),121.3852103,31.33125715,,,
767,宝山,上大,经纬学士逸居家园(五期),121.4118281,31.33114048,,,
457,宝山,张庙,岭南雅苑,121.4631405,31.33086904,,,
2273,杨浦,中原,开鲁三村,121.5370794,31.33062582,,,
1716,宝山,上大,保利叶之林(二期),121.3833514,31.33040921,,,
2678,宝山,共康,共康八村,121.4395595,31.33040783,,,
1160,宝山,上大,锦秋花园,121.3967971,31.33037189,,,
1718,宝山,上大,保利叶之林(三期),121.380652,31.33020294,,,
2586,宝山,共康,共康五村,121.4427657,31.32947745,,,
2494,宝山,共康,大华公园城市,121.4336252,31.32936533,,,
1526,宝山,上大,葑润华庭,121.3873725,31.32898523,,,
830,宝山,高境,恒盛豪庭,121.4760568,31.32892809,,,
3103,杨浦,中原,工农四村星源公寓,121.5493885,31.32870654,,,
2637,宝山,高境,殷高小区,121.4960158,31.32863991,,,
2484,杨浦,中原,翔殷四村,121.5472651,31.3285594,,,
319,宝山,张庙,共和三村,121.465124,31.32824485,,,
2419,杨浦,中原,开鲁二村,121.534191,31.32814622,,,
2509,宝山,高境,高境二村,121.485191,31.3278019,,,
2077,杨浦,新江湾城,信达泰禾上海院子,121.5171741,31.32741339,,,
794,宝山,上大,大华朗香花园(四期),121.3874115,31.32730852,,,
213,静安,彭浦,昌林公寓,121.4706945,31.32704971,,,
771,宝山,张庙,共和小区,121.4553076,31.32684898,,,
2734,宝山,上大,城丰星苑,121.362655,31.326797,,,
2681,宝山,上大,宝祁雅苑(北区),121.379015,31.3260071,,,
2990,嘉定,嘉定新城,安高东方御府,121.2873694,31.32582881,,,
1722,杨浦,中原,市光四村,121.5418988,31.32574891,,,
1054,浦东,高行,宝佳苑,121.6333042,31.32562329,,,
2304,杨浦,中原,市京一村,121.53012,31.325601,,,
963,静安,彭浦,平顺路941弄,121.4617724,31.32551363,,,
965,宝山,高境,高境一村,121.4867516,31.32533533,,,
1136,嘉定,嘉定新城,骏丰玲珑坊,121.280272,31.325305,,,
1673,浦东,世博,济阳二村,121.6384043,31.3251228,,,
1439,杨浦,新江湾城,三湘七星府邸,121.5039923,31.32509634,,,
387,嘉定,嘉定新城,绿地和苑,121.2740817,31.32491149,,,
390,静安,彭浦,阳景小区,121.464343,31.32469286,,,
2919,嘉定,嘉定新城,好世皇马苑,121.2840536,31.3246307,,,
2234,宝山,高境,三花现代城(三期金兰苑),121.4793086,31.32457757,,,
2365,宝山,张庙,民主花园,121.454689,31.32455814,,,
1077,宝山,高境,三花现代城(二期香梅苑),121.4812848,31.32455559,,,
2348,杨浦,中原,东方名城,121.5282146,31.32439318,,,
310,杨浦,中原,国和苑,121.5396526,31.32406342,,,
295,静安,彭浦,共康四村,121.4427361,31.32392106,,,
1269,嘉定,安亭,旭辉,121.172224,31.323847,,,
727,嘉定,嘉定新城,恒大御景湾,121.288431,31.3237939,,,
606,静安,彭浦,和源名城,121.4730627,31.32376436,,,
2090,杨浦,新江湾城,新江湾戎德苑,121.5254993,31.32373999,,,
1468,静安,彭浦,艺康苑,121.4523066,31.32340522,,,
692,静安,彭浦,平保小区,121.4604351,31.32334152,,,
990,宝山,高境,吉浦路615弄,121.4986004,31.32326725,,,
507,杨浦,中原,世和园,121.5307125,31.32316885,,,
1965,宝山,高境,三花现代城(一期丹桂苑),121.4822288,31.32314556,,,
1191,嘉定,安亭,新虹桥时代公馆,121.233085,31.322917,,,
1176,宝山,高境,逸仙二村,121.5010221,31.32287703,,,
1330,宝山,上大,锦泰苑,121.3870432,31.32279482,,,
3171,静安,彭浦,兴泉小区,121.4465964,31.32248572,,,
1954,杨浦,中原,国和一村,121.5356127,31.32240297,,,
3069,杨浦,中原,市光二村,121.548001,31.32210891,,,
1798,杨浦,新江湾城,三湘未来海岸,121.5115944,31.32207914,,,
1609,杨浦,中原,市光一村,121.542728,31.322039,,,
2698,宝山,上大,当代高邸,121.3908325,31.32198876,,,
1073,嘉定,南翔,上隽嘉苑(公寓),121.3231577,31.32172563,,,
1395,宝山,上大,丰翔新城,121.354486,31.321711,,,
447,浦东,高行,春江花悦园,121.615499,31.291603,,,
1854,浦东,高行,森兰名轩,121.597489,31.29451,,,
1891,浦东,高行,森兰星河湾,121.6334602,31.32167187,,,
86,宝山,上大,绿地领海(商业类),121.3564889,31.32152712,,,
2614,杨浦,中原,城市方园,121.528485,31.32143457,,,
2567,静安,彭浦,保德路425弄,121.4651443,31.32137072,,,
3129,宝山,高境,逸仙华庭,121.4890391,31.32124231,,,
1761,宝山,上大,祁连二村,121.384124,31.32069691,,,
1259,虹口,江湾镇,虹北公寓,121.4804195,31.32061786,,,
30,虹口,江湾镇,墨翠里,121.476723,31.32058686,,,
1263,静安,彭浦,共康三村,121.4437863,31.32033536,,,
609,浦东,高行,中冶尚城,121.591281,31.320246,,,
2117,静安,彭浦,阳曲路470弄,121.452065,31.32016801,,,
970,宝山,大场镇,绿地即客LOFT,121.416606,31.31997397,,,
2480,静安,彭浦,星纪花苑,121.453517,31.31978155,,,
2309,杨浦,中原,民星一村,121.5476316,31.31973983,,,
2325,静安,彭浦,临汾名城,121.4725497,31.31936841,,,
959,嘉定,南翔,朗诗绿色街区,121.3249971,31.31915355,,,
2998,虹口,江湾镇,红馥里,121.476694,31.31902984,,,
1326,杨浦,中原,体院小区,121.528335,31.31898056,,,
2078,宝山,上大,锦龙苑,121.385661,31.31877942,,,
1534,杨浦,中原,长海二村,121.5356495,31.31858269,,,
880,静安,彭浦,平顺小区,121.4603519,31.31855523,,,
2239,浦东,高行,森兰自由度,121.593639,31.318508,,,
1870,宝山,上大,聚丰景都,121.3813599,31.31850556,,,
999,静安,彭浦,临汾路1564弄,121.4431481,31.31826393,,,
576,嘉定,南翔,湖畔天下(别墅),121.311673,31.3182529,,,
2318,嘉定,南翔,湖畔天下一期,121.311673,31.3182529,,,
1201,杨浦,中原,民星路350弄,121.5476055,31.31820679,,,
2950,静安,彭浦,阳曲小区,121.46862,31.31817786,,,
602,虹口,江湾镇,海尚逸苑,121.48674,31.3181329,,,
952,宝山,上大,上大阳光乾静园,121.4136395,31.31789667,,,
2654,宝山,高境,三门路489弄,121.4992168,31.31783289,,,
613,虹口,江湾镇,金枫里,121.481073,31.3176609,,,
3031,杨浦,中原,长海一村,121.5360987,31.31759226,,,
290,静安,彭浦,临汾路1060弄,121.4518223,31.31757946,,,
1142,宝山,上大,祁连三村,121.3894156,31.3173059,,,
298,杨浦,五角场,三门路358弄,121.4991995,31.31697805,,,
670,宝山,上大,祁连欣苑,121.3839505,31.31684532,,,
967,杨浦,五角场,建设公寓,121.4979956,31.3165635,,,
2844,嘉定,南翔,翔和雅苑1509弄,121.304528,31.31655887,,,
2525,嘉定,南翔,翔和雅苑,121.304528,31.31655887,,,
1884,静安,彭浦,泉灵小区,121.447495,31.31603111,,,
1164,静安,彭浦,临汾路1565弄,121.443824,31.31590146,,,
1249,静安,彭浦,彭五小区,121.4602573,31.31586043,,,
1047,浦东,高行,高弘家苑,121.5914396,31.31578662,,,
2730,静安,彭浦,康悦亚洲花园,121.472846,31.31576186,,,
1027,杨浦,中原,翔殷三村,121.546326,31.3157,,,
349,杨浦,中原,三门路48弄,121.4975638,31.31567433,,,
3188,杨浦,五角场,三门路510弄,121.497564,31.315674,,,
1680,虹口,江湾镇,江杨家园,121.4764878,31.31537832,,,
490,嘉定,南翔,森林公馆,121.321683,31.3153558,,,
1911,嘉定,南翔,金地格林世界(城市公馆),121.3254167,31.31505277,,,
868,静安,彭浦,闻喜路251弄,121.4585532,31.31456896,,,
2326,静安,彭浦,临汾路1515弄,121.4439953,31.3142984,,,
654,嘉定,南翔,中建溪岸澜庭,121.3069127,31.31424865,,,
2670,杨浦,五角场,政立路545弄,121.508903,31.31388716,,,
1795,静安,彭浦,岭南路100弄,121.461873,31.313821,,,
2852,静安,彭浦,闻喜路1223弄,121.4487221,31.31366218,,,
3088,杨浦,五角场,政立路830弄,121.5004406,31.31355212,,,
896,嘉定,南翔,金地格林世界(格林公馆),121.317149,31.313473,,,
894,静安,彭浦,里昂公寓,121.4710996,31.31340951,,,
1363,杨浦,中原,黑山小区,121.5298979,31.31332027,,,
779,静安,彭浦,临汾花园,121.4719671,31.3130528,,,
2140,宝山,大场镇,聚丰福邸,121.393028,31.313036,,,
2574,宝山,大场镇,美诗邸,121.390518,31.31297135,,,
1836,静安,彭浦,彭顺小区,121.4601386,31.31292322,,,
2144,杨浦,五角场,文化名园,121.4980612,31.31291296,,,
2195,浦东,高行,金地未未来,121.594133,31.312679,,,
2295,静安,彭浦,闻喜小区,121.453365,31.31257592,,,
1923,嘉定,南翔,三湘森林海尚(嘉定),121.3313268,31.31246539,,,
3027,静安,彭浦,场中小区,121.45759,31.3122104,,,
554,浦东,高行,新城碧翠,121.591111,31.312208,,,
1232,宝山,大场镇,乾溪二村,121.409873,31.31203386,,,
