,行政区,街区,小区,经度,纬度
3096,浦东,川沙,石皮路小区,120.3037722,31.58180569
2959,浦东,航头,海洲桃花园一期,120.6896415,30.52009647
2918,徐汇,华泾,沙家浜小区,120.8537593,31.55210244
2988,青浦,朱家角,璟雲里,121.0258813,31.11719038
275,金山,金山,华发招商依云四季,121.0282993,30.91389031
2737,青浦,朱家角,海上湾闻涧,121.028689,31.12576986
1605,青浦,朱家角,恒大御澜庭二期,121.028928,31.13008589
2286,青浦,朱家角,海上湾鹭居,121.0346691,31.1279342
1414,青浦,朱家角,中骏御景台,121.0443153,31.12314718
2660,青浦,朱家角,翠苑(西区),121.0460386,31.12653928
1591,青浦,朱家角,金地水悦堂,121.0476384,31.12913544
1095,青浦,朱家角,翠苑别墅(东区),121.0488144,31.12731209
3083,青浦,朱家角,证大朱家角西镇,121.0550875,31.11886476
2947,青浦,朱家角,西井街29弄,121.0606432,31.11803902
1352,青浦,盈浦,中南君悦府,121.083778,31.14048685
852,青浦,盈浦,首创禧悦芳菲,121.084648,31.13937083
1464,青浦,盈浦,融信铂爵,121.085635,31.14183984
823,青浦,盈浦,东渡悦来城,121.087861,31.14173189
1153,青浦,盈浦,青浦万达茂(住宅),121.0892771,31.13983569
2016,青浦,盈浦,五浦汇B区崧子苑,121.091073,31.15164598
2101,青浦,盈浦,大发融悦,121.0929122,31.14198031
1022,青浦,盈浦,民乐佳苑三区,121.0936692,31.16735209
703,青浦,盈浦,五浦汇盛青雅苑,121.0959683,31.14936645
936,青浦,盈浦,首创禧悦繁花里,121.0962343,31.14187569
2530,青浦,盈浦,旭辉百合宫馆,121.0983356,31.17443136
1553,青浦,盈浦,东渡青筑,121.0988752,31.14414837
115,青浦,盈浦,旭辉玫瑰湾,121.1032074,31.17345787
216,青浦,盈浦,御澜湾,121.1043285,31.14766642
2011,青浦,盈浦,远洋金融街,121.109478,31.16796683
2360,静安,大宁,谈家桥路80弄,121.1175259,31.15008916
694,青浦,朱家角,东方庭院(别墅),121.1187791,31.15439225
2436,青浦,盈浦,首创禧悦(一期),121.1209959,31.15176396
2450,青浦,盈浦,上善水樾,121.1209959,31.15176396
136,青浦,夏阳,新锦港花园,121.124281,31.16355088
1505,青浦,夏阳,章浜新村,121.12633,31.15174796
2375,青浦,夏阳,怡田小区,121.126616,31.16369287
2166,青浦,夏阳,城东新村（三区）,121.1268533,31.14947724
3052,嘉定,嘉定新城,尚品,121.1277198,31.16388607
1057,青浦,夏阳,界泾港新村,121.1284212,31.15916879
3122,青浦,香花桥,富兴雅苑,121.1286748,31.18160664
1260,青浦,白鹤,绿地启航城,121.1290475,31.29057402
657,青浦,夏阳,城东新村一村,121.130137,31.15391317
1630,青浦,夏阳,绿地浦汇中心,121.1318883,31.16849474
360,青浦,夏阳,中铁逸都,121.135381,31.15872388
1172,青浦,夏阳,蓬莱山庄,121.1362028,31.14957067
359,青浦,夏阳,梦丹苑,121.1388501,31.15256461
691,青浦,夏阳,新城逸境园,121.1400502,31.16409635
14,青浦,夏阳,吉富绅花园,121.141777,31.15954456
3036,松江,小昆山,佘山院子东园,121.148099,31.03139883
1111,青浦,赵巷,青湖轩,121.1517545,31.15073716
4,青浦,夏阳,宜达新居,121.1555885,31.16911348
2035,青浦,夏阳,新城盛景园,121.157817,31.16553088
2622,嘉定,江桥,江桥老街生活大院,121.1593351,31.30426912
1455,青浦,赵巷,宝龙城市广场(青浦),121.159395,31.16792983
26,青浦,赵巷,崧泽华城华中苑,121.160898,31.14622899
3001,青浦,赵巷,崧泽华城佳福雅苑（五区）,121.162803,31.16072484
1752,青浦,赵巷,崧泽华城和瑞西苑,121.16353,31.14497389
1931,青浦,赵巷,绿地新里派克公馆,121.1635596,31.1714354
1283,青浦,赵巷,崧泽华城秀景苑(三期),121.1636577,31.1681282
1750,嘉定,安亭,V6时代新源商务楼,121.1648685,31.29671342
765,青浦,赵巷,崧泽华城秀景苑(二期),121.1660693,31.1683207
1472,青浦,赵巷,崧泽华城秀景苑,121.1662733,31.17090141
1358,青浦,赵巷,崧泽华城逸泰雅苑（二期）,121.1666064,31.16429287
579,青浦,赵巷,秀涓路46弄,121.1666806,31.14730297
1244,青浦,赵巷,崧泽华城逸泰雅苑,121.1673868,31.16200376
1654,青浦,赵巷,崧泽华城昱翠雅苑,121.1675139,31.145035
693,松江,小昆山,龙湖星图,121.1763564,31.04685602
1744,闵行,老闵行,新西街82弄(闵行),121.1805481,30.83353372
2659,嘉定,安亭,尚都国际酒店公寓,121.1808134,31.29001826
1724,松江,佘山,佘山一品,121.18165,31.10588284
1598,松江,佘山,绿地海珀佘山,121.1822833,31.09481743
1144,青浦,赵巷,上实虹桥湖畔艺墅,121.1825337,31.36088934
2247,松江,松江大学城,新城家园,121.1870912,31.05444484
2076,松江,松江大学城,绿地云峰名邸(公寓),121.1913427,31.05307675
377,嘉定,安亭,安亭瑞仕锦庭,121.1928038,31.28204713
930,松江,松江大学城,恒杰丁香花园,121.193637,31.05015187
2595,松江,松江老城,华亭新家百合苑,121.1950792,31.01804368
843,松江,松江大学城,佘山珑原,121.1964359,31.05744182
1498,松江,松江大学城,文翔名苑(公寓),121.1964359,31.05744182
1776,松江,松江大学城,林肯公园,121.1964359,31.05744182
2336,松江,松江大学城,松云水苑(公寓),121.1964359,31.05744182
2401,松江,松江大学城,首创锦悦,121.1964359,31.05744182
705,青浦,赵巷,合生御廷园(公寓),121.2011352,31.16300595
1486,青浦,赵巷,合生御廷园(别墅),121.2011352,31.16300595
2907,松江,松江新城,泰晤士小镇(公寓),121.2025517,31.04006557
1554,嘉定,安亭,嘉宝新力梦之晴华庭,121.20341,31.30431984
3158,青浦,重固,摩登蜂巢,121.2039043,31.20045383
648,松江,松江老城,新理想花园,121.204566,31.02474288
1133,嘉定,徐行,首创旭辉城,121.20672,31.41990293
1578,青浦,赵巷,泷湾苑,121.212875,31.14545085
2165,嘉定,菊园新区,慈竹路1088弄,121.213191,31.42412689
1768,嘉定,徐行,天居玲珑湾,121.213274,31.40832392
2820,松江,佘山,佘北家园木槿苑,121.2145255,31.12287197
2976,嘉定,菊园新区,福莱锦苑,121.2173807,31.38583215
396,松江,佘山,佘北家园康桂苑,121.217757,31.13381188
2836,松江,佘山,佘北家园竹青苑,121.218862,31.13327396
1764,松江,松江新城,恒杰商务大楼,121.2189712,31.04529569
1647,松江,佘山,佘北家园紫鹃苑,121.220252,31.13491289
2393,松江,松江新城,湖畔尚品,121.2203996,31.03914623
2565,松江,佘山,佘北家园茗雅苑,121.220609,31.12871689
1061,松江,松江新城,阳光翠庭,121.2212177,31.04409346
3187,松江,佘山,余北家园莘泽苑,121.222898,31.13949787
3079,松江,佘山,佘山东紫园二期（玲珑华府）,121.223007,31.09693829
950,青浦,赵巷,恒联名人世家,121.2250814,31.15002009
2544,松江,松江新城,开元新都,121.225504,31.04704382
2181,松江,佘山,恒大佘山首府,121.2259683,31.13488615
584,松江,松江新城,开元地中海,121.2260251,31.04461951
3160,嘉定,菊园新区,慈竹路69弄,121.226212,31.37511492
2982,嘉定,安亭,嘉实上城名都(公寓),121.2269701,31.29329863
3037,松江,佘山,国贸天悦,121.227738,31.13317551
2774,松江,佘山,国贸天悦云庭,121.2278882,31.13243312
2986,嘉定,菊园新区,嘉定蔷薇苑,121.2281696,31.3957817
1353,嘉定,菊园新区,合景叠翠峰苑,121.2285661,31.38695817
375,松江,松江老城,通乐小区,121.228926,31.03264183
2754,松江,松江老城,通波小区,121.228926,31.03264183
2777,松江,松江老城,人乐小区,121.228926,31.03264183
2519,松江,松江老城,民乐小区,121.2291914,31.02433385
2371,松江,松江大学城,龙湖好望山(公寓),121.2300912,31.06078324
2439,松江,松江老城,荣乐小区,121.230368,31.02129822
627,松江,松江大学城,誉品谷水湾,121.2316421,31.06362721
356,青浦,赵巷,龙湖滟澜山(别墅),121.233651,31.1390568
1547,青浦,赵巷,龙湖滟澜山(公寓),121.233651,31.1390568
1828,嘉定,菊园新区,魔方社区,121.2345778,31.37594765
865,青浦,赵巷,凯迪澳澜湾,121.2352775,31.13622462
331,松江,松江大学城,三湘四季花城,121.2356294,31.06157268
2390,松江,松江新城,绿庭悦公馆,121.235749,31.04432782
987,嘉定,菊园新区,路劲悦茂府,121.2362044,31.38172004
1052,松江,松江大学城,绿地蔷薇九里(公寓),121.2364835,31.06725878
2686,松江,松江大学城,绿地蔷薇九里(别墅),121.2364835,31.06725878
2707,青浦,华新,瑞和锦庭-东区,121.2365047,31.18756776
3110,青浦,华新,星尚湾名邸,121.2369462,31.22883095
1571,青浦,赵巷,绿地国际山庄,121.2373653,31.14189617
641,青浦,赵巷,万科有山,121.238077,31.13168987
2187,青浦,徐泾,瑞和明庭西区,121.2384416,31.18702058
2975,松江,泗泾,新凯城香樟苑,121.238468,31.11800436
2811,松江,松江老城,谷水佳苑,121.238734,30.99927582
1664,松江,泗泾,米兰诺贵都,121.2391562,31.10835404
511,松江,松江大学城,山水景苑,121.2398399,31.03889754
653,松江,松江新城,德邑小城(公寓),121.2398399,31.03889754
1069,松江,松江新城,安琪花苑(别墅),121.2398399,31.03889754
1135,松江,松江大学城,莱顿小城,121.2398399,31.03889754
1979,松江,松江新城,久阳文华府邸(公寓),121.2398399,31.03889754
2928,松江,松江新城,海德名园(公寓),121.2398399,31.03889754
3024,松江,松江新城,祥和花苑(公寓),121.2398399,31.03889754
282,松江,松江大学城,御上海,121.2405642,31.055058
786,松江,泗泾,新凯一期,121.2406621,31.11247122
2994,青浦,徐泾,陆家角馨苑东区,121.2406799,31.18200317
1596,青浦,华新,徐泾北城欣沁苑西区,121.2407455,31.18797021
176,松江,松江大学城,御上海青橙,121.240974,31.05730083
557,松江,松江大学城,保利西子湾,121.241312,31.06680284
2471,青浦,赵巷,绿地海珀风华(别墅),121.2415141,31.14043801
1045,青浦,赵巷,融信铂湾,121.2415539,31.14310418
424,青浦,华新,新丰公寓,121.2417522,31.19542795
2690,松江,佘山,新城上坤樾山四季,121.241825,31.10284783
957,松江,松江大学城,松云银座,121.242158,31.04872741
18,松江,松江新城,天乐新村,121.242454,31.0292889
35,青浦,华新,徐泾北城欣沁苑中区,121.2436446,31.18861409
2299,松江,松江老城,高乐小区,121.243785,31.02211483
748,松江,泗泾,新凯城玉兰苑,121.2438192,31.11640381
232,松江,松江大学城,龙湖新壹城,121.2438224,31.05934471
2745,青浦,华新,欣乐苑（东苑）,121.2439095,31.19042605
1531,青浦,徐泾,馨浦苑西区,121.2450323,31.1848695
594,松江,泗泾,新凯城银杏苑,121.2451139,31.11961128
1805,青浦,华新,华腾佳苑,121.2452373,31.24306958
1996,松江,泗泾,新城上坤樾山美墅,121.245446,31.10688988
697,嘉定,菊园新区,日月光伯爵公馆,121.2459096,31.39778953
687,嘉定,嘉定新城,保利天鹅语,121.245987,31.3565979
2449,青浦,华新,徐泾北城欣沁苑东区,121.2463064,31.1893046
1824,松江,泗泾,塘和家园桂花锦苑,121.246386,31.10024484
517,松江,佘山,新城上坤樾山璟里,121.2467239,31.1022322
2902,金山,金山,乡间艺墅,121.2467559,30.83949733
3043,松江,松江大学城,上坤红树湾,121.2472908,31.06705981
2193,松江,松江新城,大江苑,121.2489853,31.03257066
2124,青浦,徐泾,河畔家苑,121.2491243,31.17571025
2477,松江,泗泾,新凯城紫荆苑,121.2493787,31.119306
1982,青浦,徐泾,海棠馨苑南区,121.2497963,31.18565697
193,松江,松江大学城,信达蓝爵,121.2498964,31.06594911
1268,嘉定,嘉定新城,新城香溢澜庭,121.250562,31.35569585
1132,松江,松江大学城,万达广场(松江),121.2505787,31.06293036
445,松江,松江大学城,万科梦想派,121.2506212,31.06748768
3072,松江,松江老城,云间新天地,121.2507785,31.01240629
1835,松江,松江老城,荣都公寓,121.251051,31.02027587
676,松江,车墩,松南城金欣雅苑,121.251507,30.99293793
1378,嘉定,嘉定老城,小囡桥小区,121.252073,31.38535016
1078,松江,泗泾,茉莉雅苑,121.2521524,31.10956187
269,嘉定,菊园新区,嘉邦小区,121.2521543,31.39839397
1039,嘉定,菊园新区,新城悠活城,121.2521543,31.39839397
1569,嘉定,菊园新区,嘉宝梦之月华庭,121.2521543,31.39839397
2327,嘉定,菊园新区,新城枫景,121.2521543,31.39839397
2329,嘉定,菊园新区,嘉宝梦之湾(公寓),121.2521543,31.39839397
605,松江,泗泾,新凯城丁香苑,121.252515,31.12166887
1959,嘉定,嘉定新城,盘古天地,121.2528887,31.34510376
2506,松江,泗泾,同润圣塔路斯,121.2529272,31.11260193
74,松江,松江大学城,富悦财富广场,121.2531547,31.06576823
1932,松江,松江大学城,三迪曼哈顿,121.253272,31.06321688
2468,松江,松江新城,恒都广场,121.2535437,31.0436733
301,青浦,徐泾,万科天空之城二期云之谷,121.253557,31.18170589
1098,嘉定,嘉定新城,嘉宝梦之缘景庭,121.2542865,31.34297806
642,松江,泗泾,新凯城兰馨苑,121.2543912,31.11792123
278,松江,泗泾,紫薇茗庭,121.2547707,31.0973835
1179,松江,泗泾,水仙雅苑,121.2547779,31.10741937
2343,嘉定,嘉定新城,常发豪庭国际,121.2548486,31.3367464
2100,松江,泗泾,牡丹逸庭,121.2549351,31.10961528
2142,青浦,徐泾,通用昱慧苑,121.2550474,31.18586495
1423,嘉定,嘉定新城,新城香溢璟庭(二期),121.255768,31.36004491
315,松江,松江老城,永丰苑,121.256956,31.01689286
466,松江,松江老城,华亭新家银杏苑,121.256956,31.01689286
1701,松江,松江老城,三星苑,121.256956,31.01689286
1874,松江,松江老城,金地艺境(松江),121.256956,31.01689286
1943,松江,松江老城,维罗纳贵都,121.256956,31.01689286
2748,松江,松江老城,辰丰苑,121.256956,31.01689286
3115,松江,松江老城,绿地凯旋宫(公寓),121.256956,31.01689286
530,松江,泗泾,同润菲诗艾伦,121.25707,31.11146231
2891,松江,车墩,松南城芙蓉苑,121.2570821,30.98835966
948,松江,泗泾,金地自在城(二期),121.2576207,31.13118362
2682,松江,泗泾,塘和家园德宁苑,121.257772,31.10538288
2460,松江,松江老城,方东小区,121.2583082,31.01192293
2377,青浦,徐泾,招商虹桥公馆,121.259114,31.18791886
903,松江,泗泾,塘和家园,121.259144,31.10629283
2149,嘉定,嘉定新城,中信泰富又一城（一期）,121.2596697,31.33603924
2817,松江,泗泾,塘和家园德悦苑,121.259957,31.10542284
2109,松江,车墩,松南城嘉泽里,121.26025,30.98847096
2411,嘉定,嘉定老城,李园一村,121.2613086,31.39517794
738,嘉定,嘉定新城,龙湖郦城,121.2615202,31.33222082
1185,松江,泗泾,金地褐石苑,121.2615291,31.12118298
3026,松江,松江老城,环城新村,121.2620707,31.00946142
41,嘉定,嘉定老城,桃园小区(嘉定),121.2622454,31.38799062
621,嘉定,嘉定老城,红土天阶,121.2622454,31.38799062
888,嘉定,嘉定老城,浦发香舍(别墅),121.2622454,31.38799062
1988,嘉定,嘉定老城,嘉丰佳苑,121.2622454,31.38799062
3051,嘉定,嘉定老城,塔城路800弄,121.2622454,31.38799062
2398,松江,泗泾,塘和家园登云苑,121.2624938,31.10573142
2056,嘉定,嘉定新城,阳光城新界,121.2627967,31.35709599
323,嘉定,嘉定新城,合景理想家,121.2631609,31.34163577
2751,嘉定,菊园新区,秋竹坊,121.2632237,31.40411465
2798,嘉定,菊园新区,柳梁路55弄,121.2632237,31.40411465
1882,嘉定,嘉定新城,绿地卡米公社,121.2634565,31.33357905
1239,松江,松江老城,爱丽雅花苑,121.2634831,31.02186424
1147,松江,泗泾,万业梦立方,121.2635037,31.13166692
1875,松江,泗泾,绿地云天坊,121.2644217,31.12276274
358,青浦,徐泾,仁恒西郊花园,121.264452,31.1871382
2395,嘉定,嘉定新城,合景峰汇(嘉定),121.2649875,31.35003694
942,松江,泗泾,融创壹号公馆,121.2659716,31.12937809
32,嘉定,嘉定新城,阳光里(嘉定),121.266089,31.34803988
3002,松江,泗泾,保利翡丽公馆,121.266499,31.12028182
3077,嘉定,嘉定老城,新城香溢都荟,121.2669669,31.37007646
1913,青浦,徐泾,锦绣逸庭(别墅),121.26767,31.17585685
2887,青浦,徐泾,锦绣逸庭(公寓),121.26767,31.17585685
496,松江,泗泾,泗水和鸣,121.26823,31.12925584
2127,松江,泗泾,金港花园(公寓),121.2696648,31.11881831
348,青浦,徐泾,金水宝邸,121.2697371,31.17835981
1174,青浦,徐泾,绿中海明苑四期(公寓),121.2698759,31.18073541
1817,青浦,徐泾,绿中海明苑五期公寓,121.2698759,31.18073541
3013,青浦,徐泾,绿中海明苑三期公寓,121.2698759,31.18073541
188,松江,松江老城,华阳中心苑,121.2705836,31.01057418
651,青浦,徐泾,绿中海明苑二期（公寓）,121.271509,31.18149488
2294,青浦,徐泾,绿中海明苑二期(别墅),121.271509,31.18149488
2765,松江,车墩,松南城裕盛苑,121.272912,31.00022781
1401,松江,车墩,新晟宝邸,121.273194,30.99627397
2177,松江,洞泾,绿城兰园,121.273544,31.08074783
387,嘉定,嘉定新城,绿地和苑,121.2740817,31.32491149
723,松江,泗泾,润和苑,121.2750877,31.11676668
1558,嘉定,嘉定新城,上实海上公元,121.2752802,31.35005283
2952,嘉定,新成路,嘉源小区,121.2757337,31.38236751
1100,闵行,华漕,虹庐湾,121.2761504,31.22236153
392,青浦,徐泾,南山雨果(公寓),121.277023,31.16636888
125,青浦,徐泾,金地天御,121.2781662,31.16180515
256,闵行,华漕,首创禧瑞荟,121.2797717,31.22378832
2430,浦东,洋泾,泾东小区,121.2804454,31.08852048
1186,青浦,徐泾,君悦湾墅,121.2810609,31.16832533
1136,嘉定,嘉定新城,骏丰玲珑坊,121.2817898,31.32518372
974,青浦,徐泾,圣堡别墅,121.2827339,31.16187313
471,嘉定,嘉定新城,光明D9空间,121.2827511,31.36735525
731,嘉定,嘉定新城,新城金郡（商住）,121.2827511,31.36735525
2600,嘉定,嘉定新城,中信泰富又一城（二三期）,121.2827511,31.36735525
162,青浦,徐泾,上海豪都国际花园(别墅),121.283085,31.16947183
659,青浦,徐泾,上海豪都国际花园(公寓),121.283085,31.16947183
1446,青浦,徐泾,观庭,121.2832649,31.15879418
2732,青浦,徐泾,广虹馨苑,121.2833535,31.17905125
2837,青浦,徐泾,上海捷克住宅小区(公寓),121.2839622,31.1665518
2919,嘉定,嘉定新城,好世皇马苑,121.2840536,31.3246307
772,青浦,徐泾,上海蟠龙天地,121.2845542,31.19387657
776,松江,车墩,松南城舒雅苑,121.2856266,30.99557344
241,浦东,塘桥,蓝高小区,121.2868989,31.19387549
297,浦东,塘桥,国信世纪海景,121.2868989,31.19387549
515,浦东,塘桥,家化滨江苑,121.2868989,31.19387549
583,浦东,塘桥,微山新村,121.2868989,31.19387549
632,浦东,塘桥,文兰小区,121.2868989,31.19387549
795,浦东,塘桥,微山二村,121.2868989,31.19387549
826,浦东,塘桥,越富豪庭,121.2868989,31.19387549
920,浦东,塘桥,锦南花苑,121.2868989,31.19387549
924,浦东,塘桥,塘东小区,121.2868989,31.19387549
1006,浦东,塘桥,九龙仓滨江壹十八,121.2868989,31.19387549
1451,浦东,塘桥,东南华庭,121.2868989,31.19387549
1454,浦东,塘桥,浦建小区,121.2868989,31.19387549
1469,浦东,塘桥,新塘桥生活广场,121.2868989,31.19387549
1515,浦东,塘桥,新都花园,121.2868989,31.19387549
1804,浦东,塘桥,南泉小区,121.2868989,31.19387549
2307,浦东,塘桥,港驳小区,121.2868989,31.19387549
2386,浦东,塘桥,欣晟家园,121.2868989,31.19387549
2873,浦东,塘桥,贵龙园,121.2868989,31.19387549
2912,浦东,塘桥,金龙东苑,121.2868989,31.19387549
3017,浦东,塘桥,峨山小区,121.2868989,31.19387549
3076,浦东,塘桥,龙阳小区,121.2868989,31.19387549
3109,浦东,塘桥,春之声公寓,121.2868989,31.19387549
3181,浦东,塘桥,中远行家,121.2868989,31.19387549
2990,嘉定,嘉定新城,安高东方御府,121.2873694,31.32582881
727,嘉定,嘉定新城,恒大御景湾,121.288431,31.3237939
1339,闵行,华漕,美邻苑,121.2894557,31.20757886
281,闵行,华漕,金丰小区北区（121弄）,121.2897306,31.21221576
2720,松江,九亭,象屿虹桥悦府,121.2901839,30.922468
2804,嘉定,徐行,绿洲香润苑,121.2907584,31.42145857
636,青浦,徐泾,中建锦绣天地,121.2911,31.18888184
3094,青浦,徐泾,灿辉晶典1733,121.291169,31.1722389
2676,青浦,徐泾,罗家锦苑,121.292588,31.19858592
113,松江,泗泾,钰丰商都,121.2929677,31.12665149
2511,嘉定,嘉定新城,马陆清水湾,121.293424,31.3398959
527,青浦,徐泾,中核锦悦府,121.293849,31.18536989
3065,松江,泗泾,保利十二橡树庄园,121.2946688,31.10050318
672,闵行,华漕,馨泰佳苑,121.294733,31.22298085
733,闵行,华漕,九方家园,121.2953774,31.2134473
1458,嘉定,嘉定新城,阳光葡提公馆,121.2954904,31.33706771
119,青浦,徐泾,中骏天璟,121.2957455,31.19172232
2514,闵行,华漕,西郊景平苑,121.2967855,31.22605807
975,闵行,华漕,诸新三村,121.2968043,31.21500322
688,闵行,华漕,西郊庄园马德里洋房,121.2968423,31.20633006
2025,闵行,华漕,西郊河畔家园,121.2970155,31.21762797
2186,青浦,徐泾,西郊景园,121.2973845,31.17468873
1845,青浦,徐泾,居礼苑(公寓),121.298701,31.17589308
773,闵行,华漕,西郊虹韵城景雅苑,121.2996948,31.22753689
1348,闵行,华漕,馨昌佳苑,121.2997021,31.21412281
2871,闵行,华漕,虹桥晶邸,121.299838,31.21708474
1683,松江,九亭,朗庭上郡苑(公寓),121.300662,31.15601884
2630,松江,泗泾,中海悦府,121.300915,31.09333284
875,闵行,华漕,西郊九韵城,121.3019452,31.21783758
2524,闵行,华漕,紫堤坊,121.3028418,31.21312491
1754,松江,洞泾,尚云里,121.3030255,31.09163705
2879,闵行,华漕,紫薇二村,121.3040713,31.21028272
2171,闵行,华漕,紫薇新村,121.30419,31.20826514
937,闵行,华漕,紫堤苑,121.3043191,31.21262656
623,青浦,徐泾,玉兰清苑,121.3044977,31.20315705
2525,嘉定,南翔,翔和雅苑,121.304528,31.31655887
2844,嘉定,南翔,翔和雅苑1509弄,121.304528,31.31655887
1889,嘉定,江桥,云封公寓,121.3053376,31.27829493
654,嘉定,南翔,中建溪岸澜庭,121.3069127,31.31424865
370,闵行,华漕,涞港星苑,121.3072481,31.20641885
1840,松江,九亭,上海源花城,121.3091836,31.14913713
2587,嘉定,南翔,上海西环中心星信名邸,121.3093555,31.31022387
1910,松江,九亭,新虹桥首府(公寓),121.3101029,31.15826319
576,嘉定,南翔,湖畔天下(别墅),121.311673,31.3182529
2318,嘉定,南翔,湖畔天下一期,121.311673,31.3182529
2223,松江,九亭,英伦风尚,121.3118406,31.15353066
847,闵行,华漕,爱博四村,121.3125812,31.21930024
1250,嘉定,南翔,翔华新村,121.312635,31.29192384
819,松江,九亭,中大九里德(公寓),121.31276,31.16035487
174,青浦,徐泾,高富丽源,121.3130228,31.17701793
1774,青浦,徐泾,久事西郊名墅,121.3132673,31.18865324
1002,闵行,华漕,爱博二村,121.3139852,31.21682239
626,闵行,华漕,爱博六村,121.3140122,31.22495195
1459,松江,新桥,上海家天下花园,121.3140669,31.06145234
1104,嘉定,江桥,金沙鼎苑,121.3140867,31.25386736
255,闵行,华漕,爱博五村,121.3143532,31.22167987
2255,嘉定,南翔,民主街32弄,121.314868,31.29694585
573,青浦,徐泾,招商虹桥华府,121.3150712,31.17759854
2649,嘉定,江桥,水岸秀苑,121.3152038,31.24614746
1055,青浦,徐泾,久事西郊花园,121.3157773,31.18653958
2938,嘉定,南翔,德华二村,121.3159694,31.30108498
2115,嘉定,江桥,保利云上澄光,121.316134,31.2748189
2338,松江,九亭,依云郡(公寓),121.316336,31.16227886
1608,闵行,华漕,万科时一区（四期）,121.3167814,31.20854674
800,青浦,徐泾,新虹桥雅苑,121.3168305,31.18320325
1441,闵行,华漕,爱博三村,121.3168348,31.21799686
2542,金山,金山,绿地金卫新家园（西区）,121.3169131,30.74999628
896,嘉定,南翔,金地格林世界(格林公馆),121.3171494,31.31347252
3000,嘉定,江桥,爱德佳苑(三期),121.3173414,31.23816335
3015,闵行,华漕,爱博一村,121.3175605,31.21083093
2298,嘉定,江桥,中房公寓,121.3176233,31.24962965
2209,嘉定,江桥,天禧嘉苑二期,121.3176875,31.27699407
2517,闵行,华漕,万科时一区(二期）,121.318193,31.20798184
2886,松江,九亭,绿庭尚城,121.3184216,31.15290569
