行政区,街区,小区,经度,纬度,1000米内最近地铁站距离,1000米内最近公交车站距离,1000米内购物中心数量,1000米内公司数量,1000米内公园数量,1000米内医院数量
嘉定,菊园新区,路劲悦茂府,121.2362044,31.38172004,240,121,0,89,0,3
宝山,淞宝,淞滨路77弄,121.5052359,31.38071952,702,38,1,93,1,3
宝山,杨行,宏宝公寓,121.4382557,31.37817295,273,111,3,109,0,0
嘉定,嘉定老城,嘉丰佳苑,121.2426687,31.37805371,973,46,0,93,1,3
宝山,杨行,杨鑫佳苑,121.4537166,31.37771459,1001,58,4,76,1,0
宝山,杨行,宝虹水岸景苑,121.4409535,31.37733369,372,261,4,93,0,0
宝山,杨行,宝启花园(公寓),121.439279,31.37657389,192,268,3,94,0,0
宝山,杨行,杨泰二村,121.4477618,31.37598434,977,198,5,71,1,2
嘉定,菊园新区,魔方社区,121.2345778,31.37594765,810,177,0,98,0,3
嘉定,菊园新区,慈竹路69弄,121.226212,31.37511492,1001,41,0,51,0,0
宝山,淞宝,宝林枫景苑,121.4939468,31.3748894,558,100,0,91,0,0
宝山,淞宝,泗东新村,121.4915224,31.37405226,806,265,0,104,0,0
宝山,杨行,杨泰公寓,121.4433906,31.37394274,599,229,4,80,0,0
宝山,顾村,馨佳园(韶山路418弄),121.3730115,31.37138235,970,261,2,92,0,0
宝山,杨行,天馨花园(公寓),121.4449502,31.37102671,887,164,4,78,1,0
宝山,顾村,馨佳园(韶山路419弄),121.3690354,31.37035303,632,238,2,83,0,0
嘉定,嘉定老城,新城香溢都荟,121.2669669,31.37007646,1001,134,0,89,1,2
宝山,顾村,馨佳园(菊泉街1969弄),121.3781,31.369325,1001,66,0,95,0,0
宝山,顾村,馨佳园(菊泉街1346弄),121.375453,31.36894,872,71,2,94,0,0
宝山,顾村,金地天地云墅,121.3979848,31.36889443,1001,210,0,41,0,0
宝山,顾村,龙湖北城天街,121.3661567,31.36767037,449,79,2,42,0,0
宝山,顾村,中铁青秀城西区,121.399952,31.367363,1001,156,0,45,0,0
宝山,顾村,新顾村大家园C区,121.418377,31.36693,1001,235,0,103,0,1
嘉定,嘉定老城,红土天阶,121.244343,31.366575,1001,156,0,103,0,0
宝山,顾村,馨佳园(菊泉街1280弄),121.3803053,31.36652962,1001,110,0,108,1,0
宝山,顾村,中铁青秀城东区,121.4032858,31.36649963,1001,231,0,71,0,0
宝山,顾村,大华锦绣四季,121.4073188,31.36565433,1001,106,0,103,0,0
宝山,顾村,馨佳园(菊盛路851弄),121.3741832,31.36528857,537,155,2,95,1,0
宝山,顾村,宝顾佳苑,121.3985423,31.36525935,1001,197,0,43,0,0
宝山,顾村,馨佳园(韶山路245弄),121.371453,31.364789,282,113,2,59,1,0
宝山,顾村,新顾村大家园D区,121.420487,31.36463666,1001,175,0,101,0,1
宝山,顾村,新顾村大家园A区,121.4138204,31.36456019,1001,245,0,103,0,1
宝山,顾村,新顾城广福苑,121.3557384,31.36440294,894,256,0,19,0,0
宝山,顾村,绿地北郊广场(商铺),121.3852216,31.36324034,1001,94,0,104,1,2
宝山,顾村,丰水宝邸(东苑),121.4019792,31.36287541,1001,224,0,47,0,0
宝山,顾村,新顾城宝义苑,121.3564247,31.36229495,1001,494,0,18,0,0
宝山,顾村,丰水宝邸(西苑),121.399081,31.36214887,1001,72,0,48,0,0
宝山,顾村,新顾村大家园B区,121.414386,31.36213792,1001,348,0,90,0,1
宝山,顾村,中怡家园,121.3827321,31.36195299,1001,192,0,104,1,1
宝山,顾村,成亿宝盛家苑,121.4206152,31.36155399,1001,51,0,89,0,1
宝山,顾村,世纪非凡锦城,121.3973993,31.3611085,1001,124,0,60,0,0
青浦,赵巷,上实虹桥湖畔艺墅,121.1825337,31.36088934,1001,126,0,61,2,0
宝山,顾村,自然居家园,121.4171901,31.36078658,1001,114,0,85,0,1
宝山,顾村,菊泉新城(陆翔路698弄),121.3722825,31.36071743,428,99,3,63,1,0
宝山,顾村,新天地荻泾花园,121.3921299,31.36012562,1001,223,0,75,0,0
嘉定,嘉定新城,新城香溢璟庭(二期),121.255768,31.36004491,1001,149,2,93,0,4
宝山,顾村,世纪非凡怡园,121.3982819,31.35891339,1001,129,0,64,0,0
宝山,顾村,好日子大家园B区,121.366733,31.358854,544,48,4,55,1,0
宝山,顾村,天极盛宅花园,121.4221164,31.35878704,1001,156,0,82,0,1
宝山,顾村,盛宅新村,121.4169197,31.3586917,1001,123,0,77,0,1
宝山,共富,共富一村,121.4364786,31.35861521,494,274,1,76,0,0
宝山,顾村,菊泉新城(陆翔路678弄),121.3754553,31.35815861,842,70,4,91,3,3
浦东,外高桥,和祥佳园,121.576728,31.35791292,463,197,1,88,1,1
宝山,顾村,馨清佳苑,121.383126,31.35771487,890,280,2,85,4,3
宝山,顾村,东方帕堤欧,121.3929549,31.35765998,1001,245,0,79,0,3
宝山,顾村,井晓公馆,121.394379,31.35714386,1001,100,0,75,0,0
嘉定,嘉定新城,阳光城新界,121.2627967,31.35709599,1001,78,5,87,1,5
宝山,顾村,菊泉新城(菊盛路50弄),121.3838272,31.35673389,820,406,1,86,4,3
嘉定,嘉定新城,保利天鹅语,121.245987,31.3565979,832,192,0,103,0,3
宝山,顾村,旭辉依云湾,121.395857,31.35637,1001,82,0,75,0,0
嘉定,嘉定新城,新城香溢澜庭,121.250562,31.35569585,526,111,1,67,1,4
宝山,顾村,采菊苑,121.3732015,31.35561775,853,121,4,79,3,3
宝山,淞南,华浜新村,121.5007339,31.3555994,802,161,0,75,0,0
宝山,顾村,泰和新城(泰和西路3463弄),121.4124374,31.35555523,1001,125,0,75,0,1
宝山,顾村,馨祥佳苑,121.4135342,31.35553796,1001,102,0,60,0,1
浦东,外高桥,学前公寓,121.5923904,31.35540405,201,97,1,125,1,3
宝山,顾村,好日子大家园C区,121.361371,31.355114,1001,224,1,24,0,0
宝山,共富,共富二村,121.438083,31.35455387,796,228,1,73,3,0
宝山,顾村,菊泉新城(陆翔路358弄),121.377046,31.354104,492,107,2,91,3,3
宝山,顾村,好日子大家园D区,121.359127,31.353621,1001,219,1,20,0,0
宝山,淞南,长江路440弄,121.4975339,31.35341766,951,277,0,76,1,1
宝山,共富,富弘苑,121.4308079,31.35323156,1001,158,1,74,0,0
宝山,顾村,文宝苑,121.3746224,31.35309125,571,155,2,74,4,3
嘉定,嘉定新城,光明D9空间,121.269962,31.352533,1001,138,3,96,4,0
浦东,外高桥,高桥二村,121.5833732,31.35184701,861,77,2,83,1,3
宝山,共富,鑫鑫花园,121.4339587,31.35141697,1001,108,1,73,2,0
浦东,外高桥,花山名苑,121.5748396,31.35139685,970,257,1,100,1,2
宝山,顾村,保利叶上海(二期),121.3610629,31.35114089,1001,167,1,15,0,0
宝山,淞南,湘源大厦,121.4857474,31.35100597,332,200,4,101,4,1
宝山,顾村,绿地公园广场,121.377834,31.35090891,186,124,2,80,5,3
宝山,淞南,淞南三村,121.4960859,31.35017556,1001,183,1,88,2,1
嘉定,嘉定新城,上实海上公元,121.2752802,31.35005283,1001,112,1,90,3,0
嘉定,嘉定新城,合景峰汇(嘉定),121.2649875,31.35003694,1001,93,3,96,3,1
宝山,顾村,保利叶语(一期)(公寓),121.3753166,31.34989223,414,114,2,70,4,3
嘉定,嘉定新城,新城金郡（商住）,121.247576,31.349739,444,81,0,38,1,3
浦东,外高桥,石家街144弄,121.586296,31.349713,821,190,2,75,1,4
宝山,顾村,保利叶上海(一期),121.3666536,31.3494911,1001,121,2,28,0,0
宝山,共富,大唐花园,121.4074534,31.3494325,1001,127,0,87,0,0
宝山,共富,融创玉兰公馆,121.424779,31.3492679,876,271,0,64,0,0
杨浦,新江湾城,世纪江湾,121.5162919,31.34892913,521,223,0,88,2,0
浦东,外高桥,潼港一村,121.5829539,31.34888441,1001,102,2,86,1,4
宝山,淞南,新城尚景,121.488883,31.34877139,628,81,4,94,3,1
嘉定,嘉定新城,新城金郡,121.24632,31.348747,597,196,0,35,1,0
浦东,外高桥,华景苑,121.594635,31.341564,561,115,1,95,0,1
浦东,外高桥,高盛家园,121.5396,31.368232,1001,148,0,27,0,1
宝山,淞南,三湘海尚城(公寓),121.4843924,31.34832113,328,96,4,100,4,1
宝山,张庙,呼玛一村,121.4583018,31.34814388,404,220,1,96,2,2
宝山,淞南,淞南一村,121.4912748,31.34804574,718,91,5,94,3,1
嘉定,嘉定新城,阳光里(嘉定),121.266089,31.34804,1001,153,1,97,3,2
宝山,顾村,保利叶语(二期)(公寓),121.369905,31.34789185,962,445,3,61,3,1
宝山,张庙,呼玛二村,121.4533097,31.34725655,350,246,1,91,3,1
宝山,张庙,呼玛五村,121.4455052,31.34705926,166,54,1,94,4,2
宝山,张庙,呼玛三村,121.448102,31.34571239,377,239,1,96,5,2
嘉定,嘉定新城,盘古天地,121.2528887,31.34510376,674,47,0,50,2,0
宝山,淞南,淞南老五村,121.4916374,31.34488479,598,141,6,83,2,1
宝山,淞南,淞南五村,121.4916374,31.34488479,598,141,6,83,2,1
宝山,淞南,淞南新新五村,121.4933395,31.34477585,756,199,5,77,1,1
宝山,张庙,泗塘一村,121.4603998,31.34472743,807,238,1,75,2,2
宝山,共康,卓越时代广场,121.4420764,31.34459497,187,319,1,96,5,2
宝山,张庙,长江西路1321号,121.4617469,31.34377846,971,85,1,76,2,1
杨浦,新江湾城,合生江湾国际公寓,121.5216047,31.34377622,242,214,1,20,3,0
宝山,张庙,龙缘花园,121.450006,31.3437369,614,58,1,83,5,2
浦东,外高桥,上炼三村,121.580209,31.34371686,1001,287,1,97,1,2
浦东,御桥,仁和都市花园,121.4839973,31.34334376,151,92,4,87,2,0
宝山,淞南,都市花苑,121.4839973,31.34334376,151,92,4,87,2,0
嘉定,嘉定新城,嘉宝梦之缘景庭,121.254078,31.34308485,915,69,0,36,2,15
宝山,淞南,鹏程花苑,121.4950854,31.34305069,614,76,6,69,1,1
宝山,张庙,冶金小区(宝山),121.4482511,31.34298631,521,59,1,87,6,2
宝山,淞南,淞南六村东区,121.4925025,31.34284282,682,156,6,78,1,1
浦东,外高桥,富特五村,121.5920121,31.34277682,825,112,1,92,0,3
杨浦,新江湾城,华润置地橡树湾,121.5271893,31.34277597,756,170,1,29,2,0
宝山,张庙,泗塘四村,121.4669586,31.34244034,705,303,0,86,1,1
宝山,张庙,通河一村,121.4550589,31.34182506,830,243,1,88,2,4
宝山,共康,和欣国际花园,121.4419835,31.34179799,489,251,1,95,4,1
嘉定,嘉定新城,合景理想家,121.2631609,31.34163577,685,150,1,65,0,2
浦东,外高桥,上炼一村,121.5776127,31.3414457,1001,109,0,107,0,1
宝山,共康,新梅绿岛苑,121.4364409,31.34080389,852,188,1,86,3,1
宝山,张庙,通河三村,121.450739,31.34073287,450,185,2,80,2,3
宝山,杨行,润杨名邸,121.4930887,31.34072478,459,175,6,82,1,0
宝山,张庙,泗塘三村,121.4620067,31.34064135,1001,212,1,79,2,2
杨浦,中原,兴浦新村,121.5367731,31.34052068,1001,185,0,70,0,0
宝山,共康,共康雅苑三期,121.426047,31.34048745,198,255,1,65,1,0
宝山,淞南,盛世宝邸(一期),121.4963457,31.34032507,300,92,5,70,1,4
宝山,共康,中环国际公寓(一期),121.4336795,31.34014248,610,177,1,94,4,1
嘉定,嘉定新城,马陆清水湾,121.293424,31.3398959,1001,371,2,106,0,0
宝山,通河,通河二村,121.4568973,31.33973845,885,236,2,88,2,4
宝山,淞南,淞南七村,121.486715,31.33889291,574,396,3,76,0,0
宝山,大场镇,和泰苑,121.4127615,31.33883708,1001,280,4,79,0,0
宝山,共康,宝宸共和家园,121.4444568,31.33881048,365,159,2,79,4,1
宝山,淞南,淞南十村,121.479456,31.338427,673,171,2,102,1,0
宝山,张庙,泗塘五村,121.4665769,31.33817412,776,201,0,100,1,1
宝山,共康,宝宸怡景园,121.4416386,31.33768017,601,142,0,75,4,2
杨浦,新江湾城,祥生御江湾(公寓),121.5040295,31.3376036,645,189,3,41,0,0
宝山,通河,通河四村,121.451562,31.33738585,341,185,5,87,1,2
宝山,共康,恒泰家园,121.4343526,31.33723811,818,153,1,66,3,1
宝山,通河,通河六村,121.4582924,31.33723588,981,200,4,91,2,3
嘉定,嘉定新城,阳光葡提公馆,121.2954904,31.33706771,1001,395,3,102,0,0
杨浦,中原,城市名园,121.5455674,31.33704881,1001,172,0,91,1,0
宝山,上大,经纬学府涵青花园(二期),121.4041047,31.33689444,1001,325,2,77,0,0
宝山,上大,经纬城市绿洲,121.410077,31.336853,1001,44,4,68,0,0
宝山,共康,九英里,121.4373575,31.33679351,1001,195,1,72,3,1
嘉定,嘉定新城,常发豪庭国际,121.2548486,31.3367464,598,409,1,65,1,8
宝山,共康,恒达家园,121.4313648,31.33662495,675,151,1,55,3,1
杨浦,新江湾城,中建大公馆,121.5214392,31.33643689,769,202,1,21,3,0
杨浦,新江湾城,泰宝华庭(公寓),121.502901,31.33639286,558,146,3,55,0,0
杨浦,新江湾城,新江湾时代花园,121.5316774,31.3363533,1001,155,1,68,1,1
宝山,张庙,泗塘八村,121.463302,31.33619484,1001,147,0,96,2,2
嘉定,嘉定新城,中信泰富又一城（二三期）,121.259656,31.33604186,135,87,1,70,1,2
嘉定,嘉定新城,中信泰富又一城（一期）,121.2596697,31.33603924,134,88,1,70,1,2
宝山,通河,通河八村,121.4540906,31.3358376,608,137,5,86,1,2
杨浦,中原,闸殷路195弄,121.5347223,31.33572109,854,62,1,77,1,1
杨浦,中原,殷行路310弄,121.5450069,31.33570898,989,51,0,89,1,1
杨浦,中原,闸二小区,121.537166,31.33562686,775,183,0,77,1,1
宝山,高境,嘉骏花苑,121.4805218,31.33546763,647,246,0,98,1,0
杨浦,中原,殷行路430弄,121.542787,31.33545691,849,125,0,88,1,2
宝山,通河,通河七村,121.4583458,31.33545398,1001,123,3,93,1,2
宝山,通河,银和家园,121.45108,31.33533886,377,164,5,85,1,2
宝山,高境,象屿郦庭,121.4841788,31.33518047,981,323,1,89,0,0
宝山,共康,共康雅苑二期,121.4316299,31.33483942,860,112,1,51,3,1
宝山,共康,共和新苑,121.4475265,31.33481875,295,268,4,76,1,2
杨浦,中原,潘阳小区,121.5407576,31.33464287,689,203,0,83,1,3
浦东,外高桥,南新东园,121.5946933,31.33434646,952,40,0,103,1,0
杨浦,中原,殷行路571弄,121.540101,31.3342429,629,144,0,83,1,3
杨浦,新江湾城,新江湾城雍景苑,121.5137219,31.33422462,24,78,1,25,2,0
宝山,共康,共康六村,121.4454699,31.33422077,430,66,4,70,3,3
浦东,高行,高行绿洲(三期),121.597606,31.334019,856,134,0,104,1,0
宝山,共康,共康七村,121.4426836,31.33386683,640,133,2,71,3,2
宝山,高境,美岸栖庭(公寓),121.4988809,31.33362856,482,367,2,92,1,0
嘉定,嘉定新城,绿地卡米公社,121.2634565,31.33357905,332,190,1,67,0,2
宝山,上大,经纬阳光水岸家园(一期),121.410991,31.33303149,806,72,4,46,0,0
杨浦,新江湾城,保辉香景园,121.5115626,31.3326016,286,252,1,39,0,0
嘉定,嘉定新城,龙湖郦城,121.2615202,31.33222082,394,168,1,77,0,0
杨浦,中原,开鲁四村,121.536915,31.33200197,392,201,2,80,1,3
宝山,共康,共康公寓,121.4441582,31.33194807,710,263,4,75,2,2
浦东,高行,高行绿洲(五期),121.601798,31.33191492,808,170,0,97,1,0
浦东,高行,高行绿洲(四期),121.597597,31.33182,1001,110,0,107,1,0
杨浦,中原,开鲁路382弄,121.5394175,31.33159652,328,87,1,76,1,3
宝山,上大,滨江公园壹号,121.3875006,31.33157153,612,177,1,62,1,0
宝山,上大,保利叶之林(一期),121.3852103,31.33125715,593,157,1,61,1,0
宝山,上大,经纬学士逸居家园(五期),121.4118281,31.33114048,726,174,4,43,0,0
宝山,张庙,岭南雅苑,121.4631405,31.33086904,1001,177,2,104,1,1
杨浦,中原,开鲁三村,121.5370794,31.33062582,248,200,2,85,1,3
宝山,上大,保利叶之林(二期),121.3833514,31.33040921,396,230,1,66,1,0
宝山,共康,共康八村,121.4395595,31.33040783,1001,238,0,78,3,1
宝山,上大,锦秋花园,121.3967971,31.33037189,480,485,0,25,0,0
宝山,上大,保利叶之林(三期),121.380652,31.33020294,237,80,1,77,1,0
宝山,共康,共康五村,121.4427657,31.32947745,1001,67,3,76,2,1
宝山,共康,大华公园城市,121.4336252,31.32936533,1001,421,1,94,3,1
宝山,上大,葑润华庭,121.3873725,31.32898523,333,35,3,36,1,0
宝山,高境,恒盛豪庭,121.4760568,31.32892809,691,159,2,97,2,0
杨浦,中原,工农四村星源公寓,121.5493885,31.32870654,1001,129,0,88,23,3
宝山,高境,殷高小区,121.4960158,31.32863991,550,285,2,58,1,1
杨浦,中原,翔殷四村,121.5472651,31.3285594,831,159,0,91,16,4
宝山,张庙,共和三村,121.465124,31.32824485,1001,107,0,99,2,0
杨浦,中原,开鲁二村,121.534191,31.32814622,415,161,8,87,2,3
宝山,高境,高境二村,121.485191,31.3278019,647,136,3,99,1,1
杨浦,新江湾城,信达泰禾上海院子,121.5171741,31.32741339,343,330,1,83,1,0
宝山,上大,大华朗香花园(四期),121.3874115,31.32730852,163,159,4,37,1,3
静安,彭浦,昌林公寓,121.4706945,31.32704971,884,60,2,91,3,0
宝山,张庙,共和小区,121.4553076,31.32684898,246,348,4,71,1,7
宝山,上大,城丰星苑,121.362655,31.326797,1001,112,0,101,0,0
宝山,上大,宝祁雅苑(北区),121.379015,31.3260071,258,148,1,44,0,0
嘉定,嘉定新城,安高东方御府,121.2873694,31.32582881,357,304,3,88,1,0
杨浦,中原,市光四村,121.5418988,31.32574891,463,214,2,80,3,5
浦东,高行,宝佳苑,121.6333042,31.32562329,1001,159,2,108,2,0
杨浦,中原,市京一村,121.53012,31.325601,870,92,8,86,1,3
静安,彭浦,平顺路941弄,121.4617724,31.32551363,785,131,2,97,1,2
宝山,高境,高境一村,121.4867516,31.32533533,449,253,2,88,2,1
嘉定,嘉定新城,骏丰玲珑坊,121.280272,31.325305,319,236,2,91,1,0
浦东,世博,济阳二村,121.6384043,31.3251228,1001,178,2,83,1,0
杨浦,新江湾城,三湘七星府邸,121.5039923,31.32509634,296,194,0,92,1,0
嘉定,嘉定新城,绿地和苑,121.2740817,31.32491149,909,253,2,93,0,0
静安,彭浦,阳景小区,121.464343,31.32469286,1001,141,0,98,1,0
嘉定,嘉定新城,好世皇马苑,121.2840536,31.3246307,101,108,2,88,1,0
宝山,高境,三花现代城(三期金兰苑),121.4793086,31.32457757,705,41,2,92,3,1
宝山,张庙,民主花园,121.454689,31.32455814,136,95,4,82,1,6
宝山,高境,三花现代城(二期香梅苑),121.4812848,31.32455559,838,120,3,93,3,2
杨浦,中原,东方名城,121.5282146,31.32439318,1001,134,8,89,1,2
杨浦,中原,国和苑,121.5396526,31.32406342,364,204,2,76,3,7
静安,彭浦,共康四村,121.4427361,31.32392106,1001,202,1,88,1,4
嘉定,安亭,旭辉,121.172224,31.323847,1001,70,0,42,0,1
嘉定,嘉定新城,恒大御景湾,121.288431,31.3237939,492,456,2,91,1,0
静安,彭浦,和源名城,121.4730627,31.32376436,462,199,2,92,2,1
杨浦,新江湾城,新江湾戎德苑,121.5254993,31.32373999,1001,306,9,86,1,1
静安,彭浦,艺康苑,121.4523066,31.32340522,234,166,3,81,1,6
静安,彭浦,平保小区,121.4604351,31.32334152,691,179,2,90,1,7
宝山,高境,吉浦路615弄,121.4986004,31.32326725,549,227,1,93,1,1
杨浦,中原,世和园,121.5307125,31.32316885,786,126,8,82,1,6
宝山,高境,三花现代城(一期丹桂苑),121.4822288,31.32314556,828,74,3,94,3,2
嘉定,安亭,新虹桥时代公馆,121.233085,31.322917,1001,156,1,100,0,1
宝山,高境,逸仙二村,121.5010221,31.32287703,492,183,1,97,1,1
宝山,上大,锦泰苑,121.3870432,31.32279482,392,108,4,37,0,0
静安,彭浦,兴泉小区,121.4465964,31.32248572,725,100,1,86,2,23
杨浦,中原,国和一村,121.5356127,31.32240297,324,231,8,72,2,13
杨浦,中原,市光二村,121.548001,31.32210891,906,140,0,88,15,5
杨浦,新江湾城,三湘未来海岸,121.5115944,31.32207914,469,73,1,82,0,0
杨浦,中原,市光一村,121.542728,31.322039,415,154,1,77,2,7
宝山,上大,当代高邸,121.3908325,31.32198876,513,272,4,32,0,0
嘉定,南翔,上隽嘉苑(公寓),121.3231577,31.32172563,1001,200,1,56,1,0
宝山,上大,丰翔新城,121.354486,31.321711,1001,104,0,109,0,0
浦东,高行,春江花悦园,121.615499,31.291603,715,224,3,90,3,3
浦东,高行,森兰名轩,121.597489,31.29451,310,112,0,39,1,3
